id,title,description,dimension,analysis_type,deps,context_from,wave,status,findings,score,recommendations,error
"1","Explore: Official GESP scope","Compare GESP level 5 syllabus with the user's DP example and identify level boundaries.","external_research","explore","","","1","completed","Official C++/Python level 5 covers elementary number theory, high precision, linked lists, binary search/answer, recursion, divide and conquer, greedy, and complexity. Simple DP is level 6; complex DP is level 7.","","Treat level+algorithm queries as syllabus-aware, with out-of-level warnings.",""
"2","Explore: Problem source acquisition","Identify viable sources for GESP problems, metadata, and topic evidence.","external_research","explore","","","1","completed","Primary source should be the official GESP site: syllabus PDF, true-question index, and per-exam PDFs. Secondary sources can map OJ IDs and community tags, but must be marked as non-official.","","Build a source registry with license, robots, rate limit, parser type, and attribution rules.",""
"3","Explore: Product concept","Analyze product surface for GESP problem-type classification and learning navigation.","concept","explore","","","1","completed","The core product is a classified knowledge graph: level -> algorithm domain -> problem type -> problem -> knowledge point -> source evidence.","","Ship classified catalog pages, source alignment, and admin validation before personalization.",""
"4","Score: Feasibility","Score feasibility based on data availability, parsing difficulty, and product scope.","feasibility","score","1;2;3","1;2;3","2","completed","Feasible if the MVP starts with official PDF ingestion and semi-automatic tagging. Full crawler coverage and auto-tag accuracy require iterative validation.","82","Start with C++ level 5 and official PDFs; add Python and community mirrors later.",""
"5","Score: Impact","Score user and business value for parents, students, and teachers.","impact","score","1;2;3","1;2;3","2","completed","High value because it turns scattered PDFs/OJ/problem solutions into a classified exam map and exposes syllabus mismatch, frequency, and practice routes.","88","Position as exam-prep intelligence rather than just a problem list.",""
"6","Score: Risk","Score risks from copyright, source drift, classifier errors, and syllabus mismatch.","risk","score","1;2;3","1;2;3","2","completed","Main risks are republishing copyrighted content, ambiguous community tags, PDF extraction noise, and official syllabus vs real-question boundary cases.","64","Store metadata and excerpts by default; link to sources; keep human review and evidence-level confidence.",""
"7","Score: Complexity","Score product and engineering complexity.","complexity","score","1;2;3","1;2;3","2","completed","This is a multi-subsystem project: source registry, crawler/parser, problem alignment, classifier, catalog UI, and admin review.","72","Classify as large scope and split into roadmap milestones.",""
"8","Score: Alignment","Score alignment with the stated goal.","alignment","score","1;2;3","1;2;3","2","completed","Strong alignment: the product answers 'for each GESP level and algorithm domain, which problem types, problems, and knowledge points are covered'.","91","Keep the first UX centered on classified catalog pages: level, algorithm domain, problem type, problem detail, and source alignment.",""
"9","Score: Maintainability","Score long-term maintainability.","maintainability","score","1;2;3","1;2;3","2","completed","Maintainability depends on provenance-first data modeling and separating official facts from inferred/community labels.","79","Use versioned source documents, tag evidence records, and reviewer overrides.",""
"10","Decision Synthesis","Compile conclusions, locked/free/deferred decisions, scope verdict, and next-step routing.","synthesis","decide","4;5;6;7;8;9","4;5;6;7;8;9","3","completed","Go. Scope verdict is large because it spans source registry, crawler, parser, canonical problem alignment, classifier, classified catalog UI, and review workflow. Next step should be roadmap or blueprint.","","Run $maestro-blueprint or $maestro-roadmap --from this analyze session.",""
